evidence_uuid,evidence_id,scope,type,issuer,date,summary,product_uuid,stage_uuid,file_reference,link_reference
7195c142-ecdf-54a4-aaf9-8d1862e2e2f0,5001,product,certification_directory,The Vegan Society,,Product is listed as verified on the Vegan Society's website.,2f5aaf4d-f290-52b2-ae38-e6cb07f8ba63,,,https://www.vegansociety.com/search/products/f
84a88e4e-c86c-5d4d-a3af-c3fb7ccc47bb,5002,product,certification_directory,NON GMO Project,,Product is listed as non gmo on the companiesofficial website.,d422e9a5-6975-5596-aff5-001b831baae3,,,https://www.nongmoproject.org/find-non-gmo/?keyword=terra+delyssa
dc0ec3cb-5688-5dbc-a3f0-a5d05e3b9785,5003,product,certification_directory,Orthodox Union Kosher,,Product is listed on the OU Kosher official website as kosher.,3002c67f-58b6-5264-8f3c-a18c781119c3,,,https://oukosher.org/product-search/#s=espanola&dpm%5Bm%5D=false&dpm%5Bd%5D=false&dpm%5Bp%5D=false&dpm%5Bde%5D=false&prod%5Bpas_yisroel%5D=false&prod%5Bcholov_yisroel%5D=false&prod%5Byoshon%5D=false&prod%5Bgluten_free%5D=false&kitniyot=false&passover=false
2576d183-e4bf-5e01-97d8-331eea942c24,5004,product,certification_directory,Orthodox Union Kosher,,Product is listed on the OU Kosher official website as kosher.,106f6d0c-6738-5d2e-b830-2995d5247f0b,,,https://oukosher.org/product-search/#s=terra%20creta%20estate&dpm%5Bm%5D=false&dpm%5Bd%5D=false&dpm%5Bp%5D=false&dpm%5Bde%5D=false&prod%5Bpas_yisroel%5D=false&prod%5Bcholov_yisroel%5D=false&prod%5Byoshon%5D=false&prod%5Bgluten_free%5D=false&kitniyot=false&passover=false
949c93ac-d54d-588e-9622-137daf8a0b95,5005,product,geographical_indication,"Protected Designation of Origin, European Union",,Product is registered as a PDO on the EU website.,106f6d0c-6738-5d2e-b830-2995d5247f0b,,,https://ec.europa.eu/agriculture/eambrosia/geographical-indications-register/
37ef7f09-fd03-58d5-9f7e-4a19abcff49a,5006,product,certification_directory,European Union,,The product is listed a organic on the EU official website.,0125daac-d72b-5f25-b5d7-22da72fff972,,,https://webgate.ec.europa.eu/tracesnt/directory/publication/organic-operator/index#!#sort=-issuedOn&states=ISSUED
0f4a4df0-3c84-5793-97bf-424d312ea3de,5007,product,assurance_directory,Soil Association Certification Limited,,Product is listed as fufilling the guidelines on the official company website.,0125daac-d72b-5f25-b5d7-22da72fff972,,,https://www.soilassociation.org/certification/check-for-organic-certification/organic-certificate-checker
2472c1b6-97c0-5f60-8b84-a1dae12078f8,5008,product,licensing_guideline,Tesco PLC,,Tesco PLC is licensed by OHID to use the logo on their products.,1f89eb52-0405-5468-83f6-bd7582a34797,,,https://www.gov.uk/government/publications/government-5-a-day-logo/government-5-a-day-logo-licensing-guidelines
45751011-e828-55f5-b7a1-a167af8e6a9a,5009,product,certification_directory,NON GMO Project,,Gogo Squeez as a company has its products verified by the NON GMO Project,d6623382-73e6-5712-90c2-6cb3e6bd5d5f,,,https://www.nongmoproject.org/find-non-gmo/?keyword=gogo+squeez
f2092135-ecec-50cf-9e9e-a97c1a87f9b7,5010,product,supplier_statement,Marks and Spencer Group PLC,,All ingredients within product are vegan and no animals where harmed during its making.,636141a5-bbc2-5a05-9b79-0bd2f8028c78,,,https://corporate.marksandspencer.com/sustainability/our-products/eating-sustainably
54f74352-6bdc-56ae-ab2a-da72e93fc53a,5011,product,licensing_guideline,Lidl Great Britain Limited,,Lidl is licensed by OHID to use the 5 a day logo on appropriate products.,540eefd0-a860-56ff-bc37-a12b34e12f8e,,,https://www.gov.uk/government/publications/government-5-a-day-logo/government-5-a-day-logo-licensing-guidelines
37db669b-a31e-5686-b64b-fb73fe6c0f97,5012,company,assurance_directory,Red Tractor Assurance LTD,,Comapny is listed as Red Tractor assured.,1a818840-e58d-5863-a570-867e6940b4f9,,,https://checkers.redtractor.org.uk/rtassurance/services.eb?
e55b9d21-2896-5d6f-a67a-01bbe62d1c17,5013,product,licensing_guideline,ASDA Stores Limited,,ASDA Stores Limited is licensed by OHID to use the 5 a day logo,d1aaf5c8-8cb6-5320-a000-aecf428b7a1c,,,https://www.gov.uk/government/publications/government-5-a-day-logo/government-5-a-day-logo-licensing-guidelines
0c5e7d77-5432-5737-9c73-f19cd19fa307,5014,product,licensing_guideline,Tesco PLC,,Tesco PLC is licensed by OHID to use the logo on their products.,8bdb0aa5-c595-5ae2-a847-a05e932417fc,,,https://www.gov.uk/government/publications/government-5-a-day-logo/government-5-a-day-logo-licensing-guidelines
