product_uuid,product_id,name,category,description,qr_token
fcc5b1a8-ba84-560e-b6b4-dcafd2e6bb27,415668,Olive oil,extra virgin olive oil,Sainsbury’s extra virgin olive oil (1 L); FR/UK,415668
2f5aaf4d-f290-52b2-ae38-e6cb07f8ba63,5000442007594,olive spray oil,extra virgin olive oil,Frylight olive oil cooking spray,5000442007594
b23b6fc9-9c23-5e6d-bcd7-7db42db4fa00,8002210500204,Filippo Berio Extra Virgin Olive Oil imp,extra virgin olive oil,Filippo Berio extra virgin olive oil (500 ml),8002210500204
5405ddf3-f069-5d01-8c2d-85fc9656e000,4088600391977,Puglian Extra Virgin Oil,extra virgin olive oil,Puglian extra virgin olive oil,4088600391977
a813183b-0597-513e-b963-3f339221a4f1,5031021679253,Extra Virgin Olive Oil,extra virgin olive oil,Extra virgin olive oil (1 L),5031021679253
d422e9a5-6975-5596-aff5-001b831baae3,6191509900671,EXTRA VIRGIN OLIVE OIL,extra virgin olive oil,Terra Delyssa extra virgin olive oil (750 ml),6191509900671
654bce11-3fb7-5f7e-b356-880ca1f8da1f,4061459381702,EXTRA VIRGIN OLIVE OIL,extra virgin olive oil,Extra virgin olive oil,4061459381702
1af5443d-c28c-5c21-b16a-abf2419a836f,5000119511027,Olive Oil,extra virgin olive oil,Olive oil (1 L),5000119511027
eabfe782-d96b-5092-b568-988710c2a215,5000232919953,Napolina Extra Virgin Olive Oil 500Ml,extra virgin olive oil,Napolina extra virgin olive oil (500 ml),5000232919953
92e0d302-ffa7-564f-8e9b-20af711d405f,4056489091745,Olive oil,extra virgin olive oil,Olive oil (1 L),4056489091745
0a15de31-291b-5958-9ae3-df33a8ddc1aa,4056489973010,EXTRA VIRGIN OLIVE OIL,extra virgin olive oil,Extra virgin olive oil (750 ml),4056489973010
3002c67f-58b6-5264-8f3c-a18c781119c3,8410660049769,Extra Virgin Olive Oil,extra virgin olive oil,La Española extra virgin olive oil (1 L),8410660049769
106f6d0c-6738-5d2e-b830-2995d5247f0b,5200101804582,Extra Virgin Olive Oil From Crete,extra virgin olive oil,Extra virgin olive oil from Crete (750 ml),5200101804582
ed34d684-f88b-5d1f-97e1-43270f576238,5000232879677,Olivio Oil,extra virgin olive oil,Blended cooking oil with olive oil,5000232879677
0125daac-d72b-5f25-b5d7-22da72fff972,5051008878592,Organic Extra Virgin Olive Oil,extra virgin olive oil,Organic extra virgin olive oil (500 ml),5051008878592
1f89eb52-0405-5468-83f6-bd7582a34797,3249659,Gala apples,fruit juice,"Loose or prepacked Gala apples; sweet, crisp eating apples.",3249659
d6623382-73e6-5712-90c2-6cb3e6bd5d5f,890000001004,Apple Apple Fruit Blend On The Go,fruit juice,Portable fruit blend snack with apple as the primary ingredient.,890000001004
3b6523f2-cd26-55a7-80b5-8aee6f15197e,3249833,Pink Lady Apples,fruit juice,Pink Lady apples; sweet-tart flavour and crunchy texture.,3249833
636141a5-bbc2-5a05-9b79-0bd2f8028c78,193764,Crunchy Green Apple,fruit juice,Crisp green apple variety intended for fresh eating.,193764
ee3227f0-e29b-5e4e-931d-9e8ac1f5c245,323628,Royal gala apples,fruit juice,"Royal Gala apples; aromatic, sweet flavour and firm bite.",323628
540eefd0-a860-56ff-bc37-a12b34e12f8e,20978365,Granny Smith Apples,fruit juice,"Granny Smith apples; sharp, tangy and very crisp.",20978365
2281aa3b-302b-5b42-95c9-ec1bfe50ae44,3266090,Small Apples 2,fruit juice,Small-sized apples pack; suitable for lunchboxes and snacks.,3266090
1a818840-e58d-5863-a570-867e6940b4f9,20978372,BRITISH BRAEBURN APPLES,fruit juice,British Braeburn apples; sweet with a balanced acidity.,20978372
e623e25e-22bc-5cdf-ba82-310cb8d9c060,55369903004,NO SUGAR ADDED APPLE SNACK,fruit juice,Apple-based snack with no added sugar; ready-to-eat portion.,55369903004
d1aaf5c8-8cb6-5320-a000-aecf428b7a1c,5054781401285,Sweet & Juicy Royal Gala Apples,fruit juice,Sweet and juicy Royal Gala apples; fresh eating apples.,5054781401285
8bdb0aa5-c595-5ae2-a847-a05e932417fc,3255278,Apple Snack Pack,fruit juice,Convenient apple snack pack; portioned for on-the-go.,3255278
e4d6eb7e-1984-594e-afea-fd7a5f396ffc,3315330,Tesco family apples,fruit juice,Family pack of apples (mixed or selected variety) for everyday use.,3315330
78405b39-97ea-53d1-b5fe-530d85d69d40,4335619110335,Instant Coffee Gold,coffee,"Instant Coffee Gold by Bellarom, Lidl, Lidl Bellarom",4335619110335
dddbada0-5761-57c9-902c-b60a13e7d9c2,8445290044853,Decaff Americano,coffee,Decaff Americano by Nescafé Azera,8445290044853
0f4da2d5-6632-56c3-9779-5fc1f808e27d,7613036077514,GOLD BLEND Instant Coffee,coffee,GOLD BLEND Instant Coffee by Nescafé,7613036077514
8ff7461c-f715-50b5-af20-94f94eac627b,5201219046154,Frappe,coffee,"Frappe by Nescafe, Nescafé classic",5201219046154
4a5e0aa7-ba80-502b-aef7-b3c508c3a15d,4056489600596,Bellarom Gold,coffee,Bellarom Gold by Bellarom,4056489600596
c95520f4-65c0-569f-b1d4-8da67cf2d449,4056489234197,Decaffeinated Coffee,coffee,Decaffeinated Coffee,4056489234197
003f4e82-b4e2-5a44-98f2-f1afec956d5f,3046920028363,Excellence 85% Cacao Rich Dark,chocolate,Excellence 85% Cacao Rich Dark by Lindt,3046920028363
f9f68da6-9b15-5435-abb9-6b15107c0f7d,3046920028004,Fine dark chocolate,chocolate,Fine dark chocolate by Lindt,3046920028004
5271b173-1b57-5ace-bb35-4253a712a456,3045140105502,Chocolat au lait,chocolate,Chocolat au lait by Milka,3045140105502
0caebd2f-fcdc-5ed7-81c6-f4c16e982e3c,3046920028721,99% Cocoa / Cacao,chocolate,99% Cocoa / Cacao by Lindt Excellence,3046920028721
fa0f8c2e-a6fe-5906-a148-ae3a1ecf42a9,3046920021043,Noir intense dessert 70%,chocolate,Noir intense dessert 70% by Lindt,3046920021043
fef23aa6-b573-5344-ab81-88eac69e1829,80761761,Kinder bueno White,chocolate,Kinder bueno White by Kinder,80761761
1723325b-fef7-503e-b9d7-846e7c92802b,7622210584724,Dark chocolate,chocolate,Dark chocolate by Green and black,7622210584724
b79bf84a-4cec-5a85-8a73-c88019ba0a54,7622210578464,Organic 70% Dark Chocolate Bar,chocolate,Organic 70% Dark Chocolate Bar by Green & Black's,7622210578464
f4f300ef-b389-5560-bb6e-c3c451b7de68,5900396028167,Matcha,tea,Matcha by Loyd,5900396028167
dca58130-590f-5720-8bf7-275a44323630,5000118047817,Peach Ice Tea,tea,Peach Ice Tea by Lipton,5000118047817
c28fabe1-ef52-5c2b-bed5-17ae0f6fd5b2,9350271000164,kombucha,tea,"kombucha by Remedy, Remedy Drinks, Remedy Kombucha",9350271000164
4a6cf708-9818-59e5-9dac-8a10103e17d7,4056489965923,Kombucha solevita,tea,Kombucha solevita by Solevita,4056489965923
50ede61f-eb51-5ebe-be90-41f1717188a9,70177075101,Lemon & Ginger tea,tea,Lemon & Ginger tea by Twinings,70177075101
f0a9c0bf-ea75-5fd4-b57c-b6e1c64fb10c,5063270101766,Green tea,tea,Green tea by Lipton,5063270101766
9cd0f172-1894-5f09-91de-8f321e47c38e,5060346831008,Harry Bromptons Peach Ice Tea,tea,Harry Bromptons Peach Ice Tea by Harry Bromptons,5060346831008
34bf09a0-b553-5c68-83a0-e6cc2aa62b0a,5010357112061,Yorkshire Tea 80 Tea Bags,tea,Yorkshire Tea 80 Tea Bags by Taylors of Harrogate,5010357112061
0a1643b2-fff8-573e-a5af-f2575ccd431d,5060512670943,Apple & Elderflower Organic Kombucha,tea,Apple & Elderflower Organic Kombucha by Hip Pop,5060512670943
45cbbf5f-794d-5bd9-8dbb-0d6872239325,5023762000137,Juicy Oranges Whole Fruit Squash,fruit juice,Juicy Oranges Whole Fruit Squash by Rocks,5023762000137
a69a1bd6-2f15-5964-8de3-a83f35b40078,4056489126669,Apfelsaft aus Apfelsaftkonzentrat,fruit juice,Apfelsaft aus Apfelsaftkonzentrat by Naturis,4056489126669
dc22a7e0-4d32-58af-b6dd-d2c1f8bb412e,4056489181415,Organic Ginger Turmeric Shot,fruit juice,"Organic Ginger Turmeric Shot by Solevita, Lidl",4056489181415
e51fe116-5b3f-5e37-8844-13f75f128a04,5449000227409,100% Apple Juice,fruit juice,100% Apple Juice by Appletiser,5449000227409
da1cf73c-7c33-50a7-89fd-5fd7674a2975,4056489009412,Jus de citron vert,fruit juice,"Jus de citron vert by Lidl,Solevita",4056489009412
0ffc06bd-a24e-5806-8739-f931ffaa9fac,5010102115491,Double Concentrate Apple & Blackcurrant Squash No Added Sugar,fruit juice,Double Concentrate Apple & Blackcurrant Squash No Added Sugar by Robinsons,5010102115491
7e0cbcca-70b5-5f88-9534-4bb416b8c23a,5023762000632,Tasty Summer Fruits,fruit juice,Tasty Summer Fruits by Rocks,5023762000632
6c329b73-7531-533f-a300-caaa89b57081,5054267003378,Blackcurrant Squash,fruit juice,Blackcurrant Squash by Ribena,5054267003378
