prod_ing_uuid,product_uuid,ingredient_uuid,proportion,origin_country
b1d71a76-88c6-570d-9604-cf611ceaa3fb,1f89eb52-0405-5468-83f6-bd7582a34797,f2854c8b-1c44-53a0-a8f4-7dab1fd7361d,1.0,spain
8dd68f02-05cf-58cb-8abc-41f3c33b6b2c,d6623382-73e6-5712-90c2-6cb3e6bd5d5f,8ac04a21-4fab-5179-a532-1acfdc5e209d,0.7,united states
84e57513-8465-599c-b08e-ac9cc97ec4ac,d6623382-73e6-5712-90c2-6cb3e6bd5d5f,07c9314c-b5e9-57e0-bab4-08fe3609ac80,0.25,united states
d9c69408-0da6-51db-b131-ed847eac8e64,d6623382-73e6-5712-90c2-6cb3e6bd5d5f,e33d05a9-6ae3-5d28-a368-bf440fe840a9,0.05,unknown
11f9a003-35f9-5cea-8284-70c09ee64c95,3b6523f2-cd26-55a7-80b5-8aee6f15197e,f2854c8b-1c44-53a0-a8f4-7dab1fd7361d,1.0,south africa
4f826fa1-fdf6-5d6d-b33f-ab00d6d1e8a9,636141a5-bbc2-5a05-9b79-0bd2f8028c78,f2854c8b-1c44-53a0-a8f4-7dab1fd7361d,1.0,unknown
103b95c5-6c35-5f47-bc0a-02ebe9fafa3a,ee3227f0-e29b-5e4e-931d-9e8ac1f5c245,f2854c8b-1c44-53a0-a8f4-7dab1fd7361d,1.0,unknown
1db7e3d0-18cb-523b-82e5-fe1bbc8ec077,540eefd0-a860-56ff-bc37-a12b34e12f8e,f2854c8b-1c44-53a0-a8f4-7dab1fd7361d,1.0,unknown
a8b818a2-a6d5-5857-85dc-97d70f4dd78e,2281aa3b-302b-5b42-95c9-ec1bfe50ae44,f2854c8b-1c44-53a0-a8f4-7dab1fd7361d,1.0,unknown
948047bf-418c-5b90-8885-3e3e7068dfbe,1a818840-e58d-5863-a570-867e6940b4f9,f2854c8b-1c44-53a0-a8f4-7dab1fd7361d,1.0,united kingdom
b8c626be-7a3d-538d-bf9c-239258d80ce2,e623e25e-22bc-5cdf-ba82-310cb8d9c060,bc40f1ee-2cbe-5214-b493-db1c612cfbe2,0.9,canada
c08a4395-0a1c-5b0d-8161-3450b99dbd04,e623e25e-22bc-5cdf-ba82-310cb8d9c060,07c9314c-b5e9-57e0-bab4-08fe3609ac80,0.09,canada
8d2ec15a-d2c8-543d-8e26-b3a43f7f9823,e623e25e-22bc-5cdf-ba82-310cb8d9c060,e33d05a9-6ae3-5d28-a368-bf440fe840a9,0.01,canada
369c7b54-44db-51ce-974b-0270f9217511,d1aaf5c8-8cb6-5320-a000-aecf428b7a1c,f2854c8b-1c44-53a0-a8f4-7dab1fd7361d,1.0,south africa
