stage_uuid,stage_id,product_uuid,sequence,stage_name,from_node,to_node,value_share
638d3fa1-65fe-5003-a3b0-4757fb68c72a,3001,1f89eb52-0405-5468-83f6-bd7582a34797,1,orchard to supermarket,c0668ce2-0ceb-5e95-a641-4e78ba160f3a,6082428b-e916-559a-9ef8-309ded64b26a,1.0
a29ded61-1399-527e-ab5d-52dedf1db659,3002,d6623382-73e6-5712-90c2-6cb3e6bd5d5f,1,orchard to food processing plant,d5f9dabd-078b-53c4-a821-5f2cec8ea27e,dc717d48-a87e-5576-a13c-9911aab17f51,0.4
1b425c30-96cb-5868-a9be-a207f9df0d3d,3003,d6623382-73e6-5712-90c2-6cb3e6bd5d5f,2,food processing plant to supermarket,dc717d48-a87e-5576-a13c-9911aab17f51,7a7dd784-fd3b-5a9a-8674-a0b8429849cf,0.6
95d114e0-75d2-5ece-a126-199f15ebf9be,3004,3b6523f2-cd26-55a7-80b5-8aee6f15197e,1,orchard to supermarket,d4417cd7-442d-5bb6-b0a8-6011772927ac,6082428b-e916-559a-9ef8-309ded64b26a,1.0
092694ca-d8d6-5377-afdc-ef335a7ba4ba,3005,636141a5-bbc2-5a05-9b79-0bd2f8028c78,1,orchard to supermarket,1c97f890-faa6-5f22-b891-37072eea2928,8f81a29d-d12c-59d3-9a4b-f53935f5986f,1.0
cbb41165-9b17-57fb-97f3-c5f58b7a2b48,3006,ee3227f0-e29b-5e4e-931d-9e8ac1f5c245,1,orchard to supermarket,1c97f890-faa6-5f22-b891-37072eea2928,e6d4c891-9999-55cd-9a87-e1957e5a9c12,1.0
ce465a3b-5bd1-57b7-b5bc-86789581e13e,3007,540eefd0-a860-56ff-bc37-a12b34e12f8e,1,orchard to supermarket,1c97f890-faa6-5f22-b891-37072eea2928,78916400-bb9d-5b7a-8bc4-feb947487329,1.0
dc932d80-78e9-5245-8df1-837f9b97a31e,3008,2281aa3b-302b-5b42-95c9-ec1bfe50ae44,1,orchard to supermarket,1c97f890-faa6-5f22-b891-37072eea2928,6082428b-e916-559a-9ef8-309ded64b26a,1.0
7b44c104-f05f-5e2a-ab89-a7958643b185,3009,1a818840-e58d-5863-a570-867e6940b4f9,1,orchard to supermarket,47311212-1c8a-53e4-af9e-dcca322465da,78916400-bb9d-5b7a-8bc4-feb947487329,1.0
e53cd1c2-420a-55c8-a7a8-9d84d0fc4d13,3010,e623e25e-22bc-5cdf-ba82-310cb8d9c060,1,orchard to food processing plant,91519e69-8712-52c3-8e59-8bdbb8ddf91b,01a4867e-2a4b-5b10-a4e7-4564391585a1,0.4
25a9cb76-677e-5e7f-b26a-eef706b896f8,3011,e623e25e-22bc-5cdf-ba82-310cb8d9c060,2,food processing plant to supermarket,01a4867e-2a4b-5b10-a4e7-4564391585a1,7a7dd784-fd3b-5a9a-8674-a0b8429849cf,0.6
798a4b3f-61a7-5ca3-9396-ad8958bfc669,3012,d1aaf5c8-8cb6-5320-a000-aecf428b7a1c,1,orchard to supermarket,d4417cd7-442d-5bb6-b0a8-6011772927ac,689a3162-d717-5a03-afe2-679aef03e07b,1.0
36fb5fdb-a298-5506-b826-980ab29dffca,3013,8bdb0aa5-c595-5ae2-a847-a05e932417fc,1,orchard to supermarket,1c97f890-faa6-5f22-b891-37072eea2928,6082428b-e916-559a-9ef8-309ded64b26a,1.0
4269047c-4b88-5410-8577-60d75e55babf,3014,e4d6eb7e-1984-594e-afea-fd7a5f396ffc,1,orchard to supermarket,d4417cd7-442d-5bb6-b0a8-6011772927ac,6082428b-e916-559a-9ef8-309ded64b26a,1.0
a2c6f3d1-c698-51e4-8b98-6c97e2618c61,3015,fcc5b1a8-ba84-560e-b6b4-dcafd2e6bb27,1,olive grove to olive oil mill,dba35c80-7cbc-5b21-8d4b-fce14cf2673b,8553f58b-d01b-52cc-a0c1-b1810f2d0f32,0.4
8c772e3a-f1f5-589a-90a1-eff24f0e6424,3016,fcc5b1a8-ba84-560e-b6b4-dcafd2e6bb27,2,olive oil mill to supermarket,8553f58b-d01b-52cc-a0c1-b1810f2d0f32,e6d4c891-9999-55cd-9a87-e1957e5a9c12,0.6
92e55ebc-ca50-5018-a0ca-c786ca86567c,3017,2f5aaf4d-f290-52b2-ae38-e6cb07f8ba63,1,olive grove to olive oil mill,dba35c80-7cbc-5b21-8d4b-fce14cf2673b,8553f58b-d01b-52cc-a0c1-b1810f2d0f32,0.25
e9299b4f-959c-506d-96db-c1f0bfac552f,3018,2f5aaf4d-f290-52b2-ae38-e6cb07f8ba63,2,olive oil mill to food processing plant,8553f58b-d01b-52cc-a0c1-b1810f2d0f32,cd8e000d-ea7b-567d-8f85-209c307ca350,0.35
86513cd7-29df-5c59-bb01-8cbde3f13c89,3019,2f5aaf4d-f290-52b2-ae38-e6cb07f8ba63,3,food processing plant to supermarket,cd8e000d-ea7b-567d-8f85-209c307ca350,81a64a8e-daf7-5a7a-b946-248943a69755,0.4
fa936520-6d38-5b2f-ae72-efa7ec1f6838,3020,b23b6fc9-9c23-5e6d-bcd7-7db42db4fa00,1,olive grove to olive oil mill,b5c63658-82a0-572d-93e5-d814444a1716,084caf04-db81-5b2a-b21d-5e6991137750,0.4
f5422d83-cf1f-50e2-82ea-49284c5f5093,3021,b23b6fc9-9c23-5e6d-bcd7-7db42db4fa00,2,olive oil mill to supermarket,084caf04-db81-5b2a-b21d-5e6991137750,81a64a8e-daf7-5a7a-b946-248943a69755,0.6
2ba969c2-1845-5388-9003-71a9c4d07066,3022,5405ddf3-f069-5d01-8c2d-85fc9656e000,1,olive grove to olive oil mill,b5c63658-82a0-572d-93e5-d814444a1716,084caf04-db81-5b2a-b21d-5e6991137750,0.4
c1b0dd6b-12a3-5a12-bea8-dee85de57c2c,3023,5405ddf3-f069-5d01-8c2d-85fc9656e000,2,olive oil mill to supermarket,084caf04-db81-5b2a-b21d-5e6991137750,81a64a8e-daf7-5a7a-b946-248943a69755,0.6
3a2fac49-7668-557d-ad1d-a16936feb045,3024,a813183b-0597-513e-b963-3f339221a4f1,1,olive grove to olive oil mill,dba35c80-7cbc-5b21-8d4b-fce14cf2673b,b8aafcb7-01ef-5fe4-8175-07bfdaadbe20,0.4
af489257-2f78-5f2b-be60-8ac6d3e88812,3025,a813183b-0597-513e-b963-3f339221a4f1,2,olive oil mill to supermarket,b8aafcb7-01ef-5fe4-8175-07bfdaadbe20,6082428b-e916-559a-9ef8-309ded64b26a,0.6
37617253-049e-5893-8479-9abf8690be0e,3026,d422e9a5-6975-5596-aff5-001b831baae3,1,olive grove to olive oil mill,c6af5099-9006-529d-a387-1fac6de50cda,8c4cf6e7-260e-545d-ad84-84267da0b980,0.4
7f6d9bf6-05b8-505d-97a9-e01ccd5b9b4e,3027,d422e9a5-6975-5596-aff5-001b831baae3,2,olive oil mill to supermarket,8c4cf6e7-260e-545d-ad84-84267da0b980,81a64a8e-daf7-5a7a-b946-248943a69755,0.6
ce8e1054-ebcc-5efd-91e3-01e5f8b935c2,3028,654bce11-3fb7-5f7e-b356-880ca1f8da1f,1,olive grove to olive oil mill,dba35c80-7cbc-5b21-8d4b-fce14cf2673b,8553f58b-d01b-52cc-a0c1-b1810f2d0f32,0.4
cb4f405b-4b2c-59e3-bd42-2ed47dd025de,3029,654bce11-3fb7-5f7e-b356-880ca1f8da1f,2,olive oil mill to supermarket,8553f58b-d01b-52cc-a0c1-b1810f2d0f32,81a64a8e-daf7-5a7a-b946-248943a69755,0.6
94c153b5-7b66-550a-8d71-3de7ec156fa7,3030,1af5443d-c28c-5c21-b16a-abf2419a836f,1,olive grove to olive oil mill,dba35c80-7cbc-5b21-8d4b-fce14cf2673b,8553f58b-d01b-52cc-a0c1-b1810f2d0f32,0.4
5d4314c5-ac16-5d9b-adde-fa1997a2628c,3031,1af5443d-c28c-5c21-b16a-abf2419a836f,2,olive oil mill to supermarket,8553f58b-d01b-52cc-a0c1-b1810f2d0f32,6082428b-e916-559a-9ef8-309ded64b26a,0.6
23d1ef68-0286-50b1-babc-a1f93d8a90f1,3032,eabfe782-d96b-5092-b568-988710c2a215,1,olive grove to olive oil mill,b5c63658-82a0-572d-93e5-d814444a1716,084caf04-db81-5b2a-b21d-5e6991137750,0.4
3d5c27e7-27cf-5c56-809f-e1762ba3c8db,3033,eabfe782-d96b-5092-b568-988710c2a215,2,olive oil mill to supermarket,084caf04-db81-5b2a-b21d-5e6991137750,81a64a8e-daf7-5a7a-b946-248943a69755,0.6
18a88a66-485c-5a8c-b109-5b1b3e4974aa,3034,92e0d302-ffa7-564f-8e9b-20af711d405f,1,olive grove to olive oil mill,dba35c80-7cbc-5b21-8d4b-fce14cf2673b,8553f58b-d01b-52cc-a0c1-b1810f2d0f32,0.4
33ca953a-5fad-5c41-9218-ef61f5f46f54,3035,92e0d302-ffa7-564f-8e9b-20af711d405f,2,olive oil mill to supermarket,8553f58b-d01b-52cc-a0c1-b1810f2d0f32,78916400-bb9d-5b7a-8bc4-feb947487329,0.6
